device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,triggers
752820188,27751208213,"(0.2116532176733017, 0.9817770719528198)","(-159.1674041748047, 17.463693618774414, -0.4807877540588379)",1,5.1207733154296875,1,"(-40.269386291503906, -67.5682144165039, 726.24853515625)",1,"(0.1959470957517624, 1.0655763149261475)","(-167.83721923828125, -6.9868059158325195, -9.380023002624512)",1,5.2646484375,1,"(5.591282844543457, -64.64073944091797, 727.0115966796875)",1, 
752835807,27751223832,"(0.21104714274406433, 0.9826381802558899)","(-159.501953125, 17.21248435974121, -0.572268545627594)",1,5.12249755859375,1,"(-40.19462585449219, -67.19338989257812, 725.974853515625)",1,"(0.19392524659633636, 1.0576523542404175)","(-168.95326232910156, -4.674792766571045, -8.538545608520508)",1,5.2512359619140625,1,"(5.596076488494873, -64.42644500732422, 726.7446899414062)",1, 
752853468,27751241493,"(0.20894040167331696, 0.9925014972686768)","(-160.66490173339844, 14.334613800048828, -1.619716763496399)",1,5.1051177978515625,1,"(-40.18155288696289, -67.06461334228516, 725.8990478515625)",1,"(0.1921079307794571, 1.061681866645813)","(-169.9564208984375, -5.850449085235596, -8.966456413269043)",1,5.270050048828125,1,"(5.5912981033325195, -64.3550796508789, 726.6680297851562)",1, 
752870108,27751258133,"(0.10980634391307831, 0.9927692413330078)","(-215.38693237304688, 14.256553649902344, -1.6480541229248047)",1,5.13250732421875,1,"(-40.30044937133789, -66.82488250732422, 725.703125)",1,"(0.09440605342388153, 1.0915669202804565)","(-223.8878631591797, -14.570189476013184, -12.14013385772705)",1,5.27850341796875,1,"(5.401585102081299, -64.19859313964844, 726.4956665039062)",1, 
752885727,27751273752,"(-0.09653812646865845, 0.9983096122741699)","(-329.2890625, 12.639935493469238, -2.2364513874053955)",1,5.1335601806640625,1,"(-40.971378326416016, -66.64409637451172, 726.6648559570312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
752903388,27751291413,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
752920028,27751308053,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
752935643,27751323668,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
752953308,27751341333,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
752969948,27751357973,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
752985314,27751373339,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
753003228,27751391253,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
753019868,27751407893,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
753035230,27751423255,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
