device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,triggers
2434058731,57456693937,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
2434089578,57456724746,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
2434106220,57456741385,"(0.21352170407772064, 0.5661746859550476)","(-158.1360321044922, 138.72589111328125, 43.65508270263672)",1,3.0312652587890625,1,"(-96.96167755126953, 93.59425354003906, 589.6845092773438)",1,"(0.1987801492214203, 0.5098522305488586)","(-166.27334594726562, 155.15933227539062, 49.63637161254883)",1,3.1666259765625,1,"(-26.05430793762207, 100.86085510253906, 595.8934936523438)",1, 
2434122906,57456758068,"(0.23550866544246674, 0.5820401906967163)","(-145.99923706054688, 134.09674072265625, 41.97021484375)",1,2.76385498046875,1,"(-94.3006820678711, 91.0917739868164, 573.6909790039062)",1,"(0.2272808998823166, 0.538104236125946)","(-150.5409393310547, 146.91616821289062, 46.636070251464844)",1,2.8964996337890625,1,"(-25.04934310913086, 97.26559448242188, 574.4022827148438)",1, 
2434139703,57456774862,"(0.2832101285457611, 0.6846905946731567)","(-119.66798400878906, 104.14596557617188, 31.069002151489258)",1,2.373382568359375,1,"(-80.5651626586914, 77.84996032714844, 491.1202697753906)",1,"(0.27586838603019714, 0.6649131774902344)","(-123.72066497802734, 109.91651153564453, 33.16931915283203)",1,2.490966796875,1,"(-21.440452575683594, 84.1626205444336, 497.6838684082031)",1, 
2434156090,57456791246,"(0.2872866690158844, 0.6918995976448059)","(-117.4177474975586, 102.04258728027344, 30.30343246459961)",1,2.3493804931640625,1,"(-80.02182006835938, 77.34889221191406, 487.94921875)",1,"(0.28011974692344666, 0.6616314053535461)","(-121.37390899658203, 110.8740463256836, 33.51784896850586)",1,2.457733154296875,1,"(-21.236408233642578, 83.67977905273438, 494.8307189941406)",1, 
2434172918,57456808071,"(0.28965330123901367, 0.7046971321105957)","(-116.11140441894531, 98.3085708618164, 28.944379806518555)",1,2.3202362060546875,1,"(-79.6070785522461, 77.0087890625, 485.5381774902344)",1,"(0.2802308201789856, 0.6627357602119446)","(-121.31259155273438, 110.55182647705078, 33.40057373046875)",1,2.4337005615234375,1,"(-21.003982543945312, 83.30682373046875, 492.36822509765625)",1, 
2434189623,57456824773,"(0.2881855070590973, 0.6914172768592834)","(-116.9216079711914, 102.18325805664062, 30.35466957092285)",1,2.260223388671875,1,"(-79.42524719238281, 76.900634765625, 484.6839904785156)",1,"(0.27866289019584656, 0.6715484857559204)","(-122.17808532714844, 107.98051452636719, 32.46468734741211)",1,2.41949462890625,1,"(-20.845874786376953, 83.24272155761719, 491.6678161621094)",1, 
2434206056,57456841203,"(0.28939151763916016, 0.6936600804328918)","(-116.25587463378906, 101.52886199951172, 30.11650276184082)",1,2.262725830078125,1,"(-79.35877227783203, 76.91381072998047, 484.5471496582031)",1,"(0.2781594693660736, 0.6666911244392395)","(-122.45599365234375, 109.39775848388672, 32.98052215576172)",1,2.3960113525390625,1,"(-20.768321990966797, 83.26522827148438, 491.566650390625)",1, 
2434222930,57456858074,"(0.28519919514656067, 0.6919809579849243)","(-118.57005310058594, 102.01879119873047, 30.294797897338867)",1,2.2578125,1,"(-79.28953552246094, 76.95033264160156, 484.4891662597656)",1,"(0.2812212407588959, 0.6655886769294739)","(-120.76588439941406, 109.71942901611328, 33.09758377075195)",1,2.3976287841796875,1,"(-20.652956008911133, 83.32344055175781, 491.5145263671875)",1, 
2434239543,57456874683,"(0.29732590913772583, 0.6774894595146179)","(-111.87610626220703, 106.24708557128906, 31.833791732788086)",1,2.2751922607421875,1,"(-79.04586791992188, 77.03138732910156, 484.10638427734375)",1,"(0.2959609925746918, 0.6564197540283203)","(-112.62952423095703, 112.39468383789062, 34.07129669189453)",1,2.3847503662109375,1,"(-20.45967674255371, 83.41529846191406, 491.14105224609375)",1, 
2434255926,57456891082,"(0.3336449861526489, 0.6271007061004639)","(-91.82797241210938, 120.94922637939453, 37.18492889404297)",1,2.228759765625,1,"(-78.48853302001953, 77.07186889648438, 482.9409484863281)",1,"(0.3281114995479584, 0.6015142798423767)","(-94.88243865966797, 128.4147186279297, 39.90212631225586)",1,2.369476318359375,1,"(-20.13966941833496, 83.42955017089844, 490.002685546875)",1, 
2434272942,57456908117,"(0.3857108950614929, 0.5662648677825928)","(-63.08759689331055, 138.6995849609375, 43.645511627197266)",1,2.2241058349609375,1,"(-77.8218994140625, 77.31782531738281, 482.48602294921875)",1,"(0.3904009163379669, 0.5352437496185303)","(-60.498722076416016, 147.75076293945312, 46.939857482910156)",1,2.3694305419921875,1,"(-19.60539436340332, 83.68827819824219, 489.4951171875)",1, 
