device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,triggers
339455185,318072359,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339511100,318128278,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339528442,318145620,"(0.8344230055809021, 0.8833030462265015)","(184.60150146484375, 46.1959228515625, 9.97694206237793)",1,3.3484954833984375,1,"(17.872419357299805, -23.952539443969727, 604.2489624023438)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339545082,318162253,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339561271,318178431,"(0.9858010411262512, 0.7662034630775452)","(268.16217041015625, 80.36260223388672, 22.412519454956055)",1,3.730316162109375,1,"(20.294464111328125, -27.177289962768555, 715.1489868164062)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339578362,318195506,"(0.9897423386573792, 0.7581365704536438)","(270.3377990722656, 82.7163314819336, 23.26921272277832)",1,3.7703399658203125,1,"(20.16959571838379, -27.07988166809082, 716.6231079101562)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339595002,318212138,"(0.9968969225883484, 0.7441495060920715)","(274.287109375, 86.79739379882812, 24.754636764526367)",1,3.7774200439453125,1,"(19.658296585083008, -26.712766647338867, 725.7911376953125)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339611440,318228575,"(1.0083693265914917, 0.7744165658950806)","(280.61993408203125, 77.96623992919922, 21.540382385253906)",1,3.672119140625,1,"(19.310415267944336, -26.48628044128418, 734.391357421875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339628282,318245415,"(1.0019968748092651, 0.7587803602218628)","(277.102294921875, 82.52845001220703, 23.200889587402344)",1,3.7229156494140625,1,"(19.256153106689453, -26.424854278564453, 736.5238037109375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
339644922,318262055,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
