device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,triggers
3495491082,138492142978,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,START_n.15
3495507133,138492159029,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495524371,138492176267,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495541011,138492192907,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495557053,138492208949,"(0.6720532178878784, 0.3149751126766205)","(94.97332763671875, 212.01954650878906, 70.331787109375)",1,3.3920440673828125,1,"(89.79464721679688, 234.71188354492188, 874.2295532226562)",1,"(0.3947747051715851, 0.3379594087600708)","(-58.08436584472656, 205.31332397460938, 67.89093017578125)",1,3.604461669921875,1,"(150.09165954589844, 223.3242645263672, 862.87841796875)",1, 
3495574291,138492226186,"(0.666709840297699, 0.3161850869655609)","(92.02381134033203, 211.66648864746094, 70.20329284667969)",1,3.4190826416015625,1,"(89.70250701904297, 234.67979431152344, 874.1414794921875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495590931,138492242826,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495606973,138492258868,"(0.6500969529151917, 0.30576640367507935)","(82.85350036621094, 214.7064208984375, 71.30967712402344)",1,3.46856689453125,1,"(88.1906967163086, 234.19454956054688, 872.9163818359375)",1,"(0.3848360776901245, 0.3409617841243744)","(-63.57051467895508, 204.43731689453125, 67.572021484375)",1,3.59320068359375,1,"(148.60238647460938, 223.28375244140625, 861.542236328125)",1, 
3495624211,138492276106,"(0.6584624648094177, 0.3225337862968445)","(87.47127532958984, 209.81411743164062, 69.5290298461914)",1,3.4949493408203125,1,"(88.04493713378906, 234.1104736328125, 872.6382446289062)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495640851,138492292746,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495656893,138492308788,"(0.6606138348579407, 0.31600701808929443)","(88.65880584716797, 211.7184600830078, 70.22215270996094)",1,3.4437255859375,1,"(86.82875061035156, 233.4575653076172, 871.0834350585938)",1,"(0.3675430417060852, 0.3572140336036682)","(-73.11624145507812, 199.69529724121094, 65.84613037109375)",1,3.60308837890625,1,"(147.2717742919922, 223.04742431640625, 859.8980102539062)",1, 
3495674131,138492326026,"(0.6644858717918396, 0.3142881393432617)","(90.79620361328125, 212.21998596191406, 70.40467834472656)",1,3.42926025390625,1,"(86.74665832519531, 233.4121551513672, 871.0821533203125)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495690771,138492342666,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
3495706813,138492358708,"(0.6566323637962341, 0.31597957015037537)","(86.46105194091797, 211.72647094726562, 70.22517395019531)",1,3.463348388671875,1,"(85.88916778564453, 232.6150665283203, 870.0389404296875)",1,"(0.38081902265548706, 0.3693159520626068)","(-65.78788757324219, 196.16429138183594, 64.5609130859375)",1,3.56866455078125,1,"(146.2356719970703, 222.5084228515625, 858.9169311523438)",1, 
3495724051,138492375946,"(0.6602157950401306, 0.32646527886390686)","(88.43910217285156, 208.66700744628906, 69.11161804199219)",1,3.474884033203125,1,"(85.80662536621094, 232.52899169921875, 869.9569702148438)",1,"(0.38471272587776184, 0.35754862427711487)","(-63.63856887817383, 199.59767150878906, 65.81056213378906)",1,3.6114959716796875,1,"(146.16342163085938, 222.46351623535156, 858.8768920898438)",1, 
3495740691,138492392586,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
