device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,triggers
930792978,55953432269,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,START_n.1
930823576,55953462883,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0, 
930840218,55953479526,"(0.4917847216129303, 0.4496386647224426)","(-4.534842014312744, 172.7281494140625, 56.03089141845703)",1,2.3042144775390625,1,"(-40.86236572265625, 84.13008880615234, 597.6687622070312)",1,"(0.5047631859779358, 0.4515095055103302)","(2.629270553588867, 172.18228149414062, 55.83222198486328)",1,2.3408966064453125,1,"(22.14131736755371, 86.82267761230469, 598.2744140625)",1, 
930856895,55953496204,"(0.49300798773765564, 0.4767133891582489)","(-3.859595537185669, 164.8284149169922, 53.1556510925293)",1,2.21734619140625,1,"(-40.575767517089844, 83.37882232666016, 592.405029296875)",1,"(0.5072845220565796, 0.47704076766967773)","(4.021091461181641, 164.73289489746094, 53.12085723876953)",1,2.2642974853515625,1,"(21.84518051147461, 86.02135467529297, 592.6170654296875)",1, 
930873692,55953513001,"(0.49253079295158386, 0.5016435384750366)","(-4.122995376586914, 157.55442810058594, 50.50810241699219)",1,2.1810302734375,1,"(-39.60670852661133, 81.16552734375, 576.97607421875)",1,"(0.5068879723548889, 0.5012480616569519)","(3.802138328552246, 157.66983032226562, 50.55010986328125)",1,2.20721435546875,1,"(21.21036148071289, 83.8759765625, 577.9730224609375)",1, 
930890175,55953529484,"(0.4907464385032654, 0.4948842227458954)","(-5.1079583168029785, 159.52659606933594, 51.22591018676758)",1,2.161468505859375,1,"(-39.60891342163086, 80.84321594238281, 575.1128540039062)",1,"(0.5070171356201172, 0.5044494271278381)","(3.873492956161499, 156.73577880859375, 50.21013641357422)",1,2.2108612060546875,1,"(21.056907653808594, 83.63932037353516, 576.4078979492188)",1, 
930906811,55953546118,"(0.4971770942211151, 0.5041435956954956)","(-1.5582636594772339, 156.8249969482422, 50.24261474609375)",1,2.1820220947265625,1,"(-39.65037536621094, 80.60694885253906, 573.7400512695312)",1,"(0.5037954449653625, 0.5088005065917969)","(2.095071792602539, 155.4662322998047, 49.74808120727539)",1,2.204193115234375,1,"(20.862306594848633, 83.38089752197266, 574.8992309570312)",1, 
930923612,55953562917,"(0.4923190772533417, 0.5091688632965088)","(-4.239877223968506, 155.35874938964844, 49.70895767211914)",1,2.15582275390625,1,"(-39.70561218261719, 80.35917663574219, 572.282470703125)",1,"(0.5028009414672852, 0.5085403919219971)","(1.5460786819458008, 155.54214477539062, 49.77568435668945)",1,2.184814453125,1,"(20.66794776916504, 83.13656616210938, 573.5473022460938)",1, 
930940141,55953579447,"(0.4913882315158844, 0.505821943283081)","(-4.753691673278809, 156.3352813720703, 50.06437301635742)",1,2.15460205078125,1,"(-39.82207107543945, 80.19921875, 571.55810546875)",1,"(0.5053853988647461, 0.5091420412063599)","(2.9727542400360107, 155.36656188964844, 49.71182632446289)",1,2.2033233642578125,1,"(20.532283782958984, 83.00653839111328, 572.9719848632812)",1, 
930956727,55953596034,"(0.49462834000587463, 0.5158063769340515)","(-2.965177536010742, 153.42210388183594, 49.004066467285156)",1,2.182220458984375,1,"(-39.93355178833008, 80.11261749267578, 571.309326171875)",1,"(0.5065079927444458, 0.5115628838539124)","(3.5924506187438965, 154.66018676757812, 49.45473098754883)",1,2.214385986328125,1,"(20.370147705078125, 82.90727233886719, 572.6951904296875)",1, 
930973532,55953612839,"(0.4962266683578491, 0.5168581604957581)","(-2.0828957557678223, 153.1151885986328, 48.892391204833984)",1,2.1834259033203125,1,"(-40.05901336669922, 79.99885559082031, 570.9998779296875)",1,"(0.5082155466079712, 0.5140765309333801)","(4.534999847412109, 153.9268035888672, 49.187801361083984)",1,2.21063232421875,1,"(20.22953224182129, 82.8106918334961, 572.4031372070312)",1, 
930990011,55953629314,"(0.49422934651374817, 0.5195727944374084)","(-3.1854188442230225, 152.32313537597656, 48.60411071777344)",1,2.1834259033203125,1,"(-40.14825439453125, 79.91232299804688, 570.731689453125)",1,"(0.5056711435317993, 0.5129230618476868)","(3.1304755210876465, 154.26333618164062, 49.31025314331055)",1,2.2171630859375,1,"(20.151275634765625, 82.7191390991211, 572.2024536132812)",1, 
931006642,55953645941,"(0.49333325028419495, 0.5233339071273804)","(-3.680058002471924, 151.2257537841797, 48.204681396484375)",1,2.1825714111328125,1,"(-40.21913146972656, 79.82069396972656, 570.5033569335938)",1,"(0.5063621401786804, 0.513593852519989)","(3.5119268894195557, 154.06764221191406, 49.239009857177734)",1,2.206329345703125,1,"(20.04185676574707, 82.61516571044922, 571.9552001953125)",1, 
931023452,55953662746,"(0.4936164915561676, 0.5170342922210693)","(-3.5236873626708984, 153.0637664794922, 48.87369155883789)",1,2.15435791015625,1,"(-40.30289840698242, 79.71320343017578, 570.3212280273438)",1,"(0.5026108622550964, 0.5190407633781433)","(1.4411568641662598, 152.47840881347656, 48.66054916381836)",1,2.2353515625,1,"(19.967252731323242, 82.53070068359375, 571.8081665039062)",1, 
931039977,55953679272,"(0.49691659212112427, 0.5189284682273865)","(-1.7020394802093506, 152.51113891601562, 48.672515869140625)",1,2.18048095703125,1,"(-40.38676071166992, 79.65101623535156, 570.2913208007812)",1,"(0.5020082592964172, 0.5127137303352356)","(1.10854971408844, 154.324462890625, 49.33248519897461)",1,2.2154083251953125,1,"(19.916296005249023, 82.46009063720703, 571.7896118164062)",1, 
931056557,55953695852,"(0.4966047704219818, 0.5140895247459412)","(-1.8741973638534546, 153.92303466796875, 49.18635177612305)",1,2.158782958984375,1,"(-40.425437927246094, 79.5816421508789, 570.0940551757812)",1,"(0.5037367939949036, 0.5131891369819641)","(2.062695026397705, 154.18576049804688, 49.281978607177734)",1,2.18292236328125,1,"(19.86259651184082, 82.35993957519531, 571.5582275390625)",1, 
931073372,55953712667,"(0.4946192800998688, 0.5124803781509399)","(-2.970151424407959, 154.3925323486328, 49.357242584228516)",1,2.1764678955078125,1,"(-40.406402587890625, 79.46525573730469, 569.7599487304688)",1,"(0.5067216157913208, 0.5187668204307556)","(3.7103054523468018, 152.55831909179688, 48.689640045166016)",1,2.192047119140625,1,"(19.844465255737305, 82.24343872070312, 571.239990234375)",1, 
931089847,55953729135,"(0.49518883228302, 0.5141550302505493)","(-2.6557934284210205, 153.90394592285156, 49.179420471191406)",1,2.15631103515625,1,"(-40.386192321777344, 79.41122436523438, 569.5538330078125)",1,"(0.5031543970108032, 0.5121127963066101)","(1.741227626800537, 154.49978637695312, 49.39632034301758)",1,2.1895904541015625,1,"(19.85995864868164, 82.15229797363281, 571.0659790039062)",1, 
931106472,55953745753,"(0.4896370470523834, 0.5111144781112671)","(-5.720339775085449, 154.7910614013672, 49.50231170654297)",1,2.13690185546875,1,"(-40.34429168701172, 79.37066650390625, 569.3305053710938)",1,"(0.5036067962646484, 0.519503116607666)","(1.990940809249878, 152.34347534179688, 48.611480712890625)",1,2.192108154296875,1,"(19.881380081176758, 82.07601165771484, 570.7945556640625)",1, 
931123292,55953762564,"(0.4885188639163971, 0.5158442258834839)","(-6.337579727172852, 153.41102600097656, 49.000057220458984)",1,2.175445556640625,1,"(-40.28213119506836, 79.35128021240234, 569.0728759765625)",1,"(0.5039363503456116, 0.5169010758399963)","(2.172877073287964, 153.1026611328125, 48.88780975341797)",1,2.197357177734375,1,"(19.9113712310791, 82.02167510986328, 570.544677734375)",1, 
931139813,55953779085,"(0.49008262157440186, 0.5108289122581482)","(-5.474392890930176, 154.87435913085938, 49.53262710571289)",1,2.16314697265625,1,"(-40.221893310546875, 79.3284912109375, 568.8709716796875)",1,"(0.5050657987594604, 0.5195151567459106)","(2.796354293823242, 152.3399658203125, 48.61020278930664)",1,2.2005767822265625,1,"(19.940826416015625, 81.98225402832031, 570.3658447265625)",1, 
931156388,55953795659,"(0.49377021193504333, 0.5242517590522766)","(-3.438847303390503, 150.95791625976562, 48.10717010498047)",1,2.1796875,1,"(-40.16936111450195, 79.33016967773438, 568.7094116210938)",1,"(0.5074679851531982, 0.5207741260528564)","(4.122339248657227, 151.9726104736328, 48.476497650146484)",1,2.1815032958984375,1,"(19.990447998046875, 81.9562759399414, 570.1559448242188)",1, 
